geometry,NAME,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,LandUse_0,LandUse_3,LandUse_13,LandUse_14,LandUse_15,LandUse_24,Temperature,WindSpeed,Monthly_avg_ground_data (micro g/m^3),Month
POINT (784605 1429452),Silk Board,0.000109373,899,0.029406667,311.08472,72.5175,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,283,160,35.09935484,Jan
POINT (784605 1429452),Silk Board,0.00011206,899,0.006970397,311.08472,65.619995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,322,150,33.10928571,Feb
POINT (784605 1429452),Silk Board,0.000130095,899,0.002325645,311.08472,65.46313,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,356,170,46.13741935,March
POINT (784605 1429452),Silk Board,0.000118001,899,0.06259275,311.08472,60.801876,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,357,210,49.31966667,April
POINT (784605 1429452),Silk Board,0.000126188,899,0.36050728,311.08472,52.90625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,347,190,66.45193548,May
POINT (784605 1429452),Silk Board,7.96E-05,899,0.18261471,311.08472,45.794373,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,314,180,39.91733333,June
POINT (784605 1429452),Silk Board,6.67E-05,899,0.05052369,311.08472,52.3625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,290,43.59653846,July
POINT (784605 1429452),Silk Board,5.89E-05,899,0.14731617,311.08472,57.75,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,289,320,36.185,Aug
POINT (784605 1429452),Silk Board,6.56E-05,899,0.15662277,311.08472,50.24875,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,297,200,32.26766667,Sept
POINT (784605 1429452),Silk Board,6.84E-05,899,0.13979243,311.08472,52.568127,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,293,130,28.25612903,Oct
POINT (784605 1429452),Silk Board,7.10E-05,899,0.009619605,311.08472,55.010002,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,292,150,26.731,Nov
POINT (784605 1429452),Silk Board,7.08E-05,899,0.005738334,311.08472,48.90375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,279,170,21.52,Dec
