geometry,NAME,NO2,Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed,Monthly_avg_ground_data (micro g/m^3),Month
POINT (784605 1429452),Silk Board,8.27E-05,899,2,311.08472,40.075623,299,160,40.77,Jan
POINT (784605 1429452),Silk Board,0.000101975,899,2,311.08472,54.375,314,170,43.76,Feb
POINT (784605 1429452),Silk Board,0.000104266,899,0,311.08472,53.89875,341,190,32.35,March
POINT (784605 1429452),Silk Board,0.000102268,899,29,311.08472,50.575,345,170,28.22,April
POINT (784605 1429452),Silk Board,8.73E-05,899,79,311.08472,53.170624,325,240,22.5,May
POINT (784605 1429452),Silk Board,7.23E-05,899,94,311.08472,48.622498,300,150,16.89,June
POINT (784605 1429452),Silk Board,6.58E-05,899,96,311.08472,0,281,260,22.37,July
POINT (784605 1429452),Silk Board,7.24E-05,899,134,311.08472,0,286,240,21.43,Aug
POINT (784605 1429452),Silk Board,7.13E-05,899,191,311.08472,54.069374,292,230,22.45,Sep
POINT (784605 1429452),Silk Board,8.62E-05,899,248,311.08472,54.01625,286,140,28.23,Oct
POINT (784605 1429452),Silk Board,8.14E-05,899,36,311.08472,36.685623,276,160,21.63,Nov
POINT (784605 1429452),Silk Board,8.43E-05,899,18,311.08472,51.175,276,150,24.36,Dec
POINT (781598 1428998),BTM Layout,8.65E-05,918,2,311.08472,42.927498,299,160,12.31,Jan
POINT (781598 1428998),BTM Layout,0.000110933,918,2,311.08472,55.802498,314,170,16.44,Feb
POINT (781598 1428998),BTM Layout,0.000108641,918,0,311.08472,54.5675,341,190,12.4,March
POINT (781598 1428998),BTM Layout,0.000106557,918,29,311.08472,52.503124,345,170,17.51,April
POINT (781598 1428998),BTM Layout,8.34E-05,918,79,311.08472,54.47,325,240,26.51,May
POINT (781598 1428998),BTM Layout,6.90E-05,918,94,311.08472,47.15125,300,150,16.28,June
POINT (781598 1428998),BTM Layout,6.58E-05,918,96,311.08472,0,281,260,16.95,July
POINT (781598 1428998),BTM Layout,6.84E-05,918,134,311.08472,0,286,240,16.65,Aug
POINT (781598 1428998),BTM Layout,6.83E-05,918,191,311.08472,50.831875,292,230,14.65,Sep
POINT (781598 1428998),BTM Layout,8.80E-05,918,248,311.08472,56.685,286,140,16.12,Oct
POINT (781598 1428998),BTM Layout,9.01E-05,918,36,311.08472,41.6225,276,160,15.1,Nov
POINT (781598 1428998),BTM Layout,8.98E-05,918,18,311.08472,53.085,276,150,15.24,Dec
POINT (780485 1429813),Jayanagar 5th Block,8.65E-05,918,2,311.08472,42.927498,299,160,24.14,Jan
POINT (780485 1429813),Jayanagar 5th Block,0.000110933,918,2,311.08472,55.802498,314,170,19.73,Feb
POINT (780485 1429813),Jayanagar 5th Block,0.000108641,918,0,311.08472,54.5675,341,190,22.37,March
POINT (780485 1429813),Jayanagar 5th Block,0.000106557,918,29,311.08472,52.503124,345,170,27.76,April
POINT (780485 1429813),Jayanagar 5th Block,8.34E-05,918,79,311.08472,54.47,325,240,17.05,May
POINT (780485 1429813),Jayanagar 5th Block,6.90E-05,918,94,311.08472,47.15125,300,150,15.66,June
POINT (780485 1429813),Jayanagar 5th Block,6.58E-05,918,96,311.08472,0,281,260,18.54,July
POINT (780485 1429813),Jayanagar 5th Block,6.84E-05,918,134,311.08472,0,286,240,21.82,Aug
POINT (780485 1429813),Jayanagar 5th Block,6.83E-05,918,191,311.08472,50.831875,292,230,33.27,Sep
POINT (780485 1429813),Jayanagar 5th Block,8.80E-05,918,248,311.08472,56.685,286,140,23.47,Oct
POINT (780485 1429813),Jayanagar 5th Block,9.01E-05,918,36,311.08472,41.6225,276,160,23.49,Nov
POINT (780485 1429813),Jayanagar 5th Block,8.98E-05,918,18,311.08472,53.085,276,150,25.53,Dec
POINT (781029 1431762),Hombegowda Nagar,9.03E-05,911,2,4442.8613,38.709373,299,160,20.69,Jan
POINT (781029 1431762),Hombegowda Nagar,0.000115555,911,2,4442.8613,47.40375,314,170,21.41,Feb
