latitude,longitude,UTMX,UTMY,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
12.85,77.45,765914,1421813,6.907094873996455e-05,768,88.66666666666667,311.22943,4.1191144,306.0833333333333,194.16666666666666
12.85,77.46000000000001,766999,1421823,6.907094873996455e-05,768,88.66666666666667,311.22943,4.1191144,306.0833333333333,194.16666666666666
12.85,77.47000000000001,768085,1421834,7.058327168721852e-05,781,90.25,762.9998,4.82125,304.6666666666667,192.5
12.85,77.48000000000002,769171,1421844,7.058327168721852e-05,781,90.25,762.9998,4.82125,304.6666666666667,192.5
12.85,77.49000000000002,770257,1421855,7.058327168721852e-05,781,90.25,762.9998,4.82125,304.6666666666667,192.5
12.85,77.50000000000003,771343,1421865,7.139460409669465e-05,878,91.25,765.78094,8.244062,301.5,189.16666666666666
12.85,77.51000000000003,772429,1421876,7.139460409669465e-05,878,91.25,765.78094,8.244062,301.5,189.16666666666666
12.85,77.52000000000004,773515,1421886,7.139460409669465e-05,878,91.25,765.78094,8.244062,301.5,189.16666666666666
12.85,77.53000000000004,774601,1421897,7.158096038815038e-05,933,91.25,765.781,4.949167,301.5,189.16666666666666
12.85,77.54000000000005,775687,1421908,7.158096038815038e-05,933,91.25,765.781,4.949167,301.5,189.16666666666666
12.85,77.55000000000005,776774,1421918,7.158096038815038e-05,933,91.25,765.781,4.949167,301.5,189.16666666666666
12.85,77.56000000000006,777860,1421929,7.191474559418232e-05,916,92.16666666666667,765.781,17.080418,298.0,189.16666666666666
12.85,77.57000000000006,778946,1421940,7.191474559418232e-05,916,92.16666666666667,765.781,17.080418,298.0,189.16666666666666
12.85,77.58000000000007,780032,1421951,7.22497330782982e-05,915,92.58333333333333,765.5683,25.95828,296.25,185.83333333333334
12.85,77.59000000000007,781118,1421962,7.22497330782982e-05,915,92.58333333333333,765.5683,25.95828,296.25,185.83333333333334
12.85,77.60000000000008,782204,1421973,7.22497330782982e-05,915,92.58333333333333,765.5683,25.95828,296.25,185.83333333333334
12.85,77.61000000000008,783290,1421984,7.222796133374915e-05,919,92.58333333333333,765.781,13.576979,296.25,185.83333333333334
12.85,77.62000000000009,784376,1421995,7.222796133374915e-05,919,92.58333333333333,765.781,13.576979,296.25,185.83333333333334
12.85,77.6300000000001,785462,1422006,7.8092879635748e-05,923,92.58333333333333,594.6031,16.89125,296.25,185.83333333333334
12.85,77.6400000000001,786548,1422017,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.85,77.6500000000001,787634,1422028,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.85,77.66000000000011,788720,1422039,7.666521668948462e-05,910,92.5,765.67944,31.749374,297.3333333333333,185.83333333333334
12.85,77.67000000000012,789807,1422050,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.85,77.68000000000012,790893,1422062,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
12.85,77.69000000000013,791979,1422073,7.458873573837891e-05,890,92.91666666666667,765.67957,26.071823,298.1666666666667,183.33333333333334
